title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
DTP - University of Glasgow,EPSRC,EP/M508056/1,2015-10-01,2019-09-30,2854310,University of Glasgow,Research and Enterprise,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Mary Beth,,Kneafsey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508056%2F1
STFC Nottingham 2015 DTP,STFC,ST/N504208/1,2015-10-01,2020-09-30,426046,University of Nottingham,Sch of Physics & Astronomy,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Michael,Ralph,Merrifield,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504208%2F1
STFC Swansea 2015 DTP,STFC,ST/N504464/1,2015-10-01,2020-09-30,279042,Swansea University,College of Science,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Graham,,Shore,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504464%2F1
STFC Cardiff 2015 DTP,STFC,ST/N504002/1,2015-10-01,2020-09-30,510668,Cardiff University,School of Physics and Astronomy,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Matt,,Griffin,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504002%2F1
DTP - University of Kent,EPSRC,EP/M508068/1,2015-10-01,2019-09-30,336094,University of Kent,Admissions and Partnership Services,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Mary,Patrica,Hughes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508068%2F1
DTP - University of Dundee,EPSRC,EP/M508019/1,2015-10-01,2019-09-30,328366,University of Dundee,Executive,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Martin,,Glover,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508019%2F1
STFC Sussex 2015 DTP,STFC,ST/N504452/1,2015-10-01,2020-09-30,579847,University of Sussex,Sch of Mathematical & Physical Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Sebastian,,Jaeger,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504452%2F1
STFC Surrey 2015 DTP,STFC,ST/N504440/1,2015-10-01,2020-09-30,319468,University of Surrey,Physics,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Paul,Jonathan,Sellin,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504440%2F1
DTP - University of Cambridge,EPSRC,EP/M508007/1,2015-10-01,2019-09-30,6172770,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Noel Antony,,Rutter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508007%2F1
STFC Dundee 2015 DTP,STFC,ST/N504026/1,2016-09-12,2021-09-11,72255,University of Dundee,Mathematics,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Fordyce,Alexander,Davidson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504026%2F1
DTP - University of Strathclyde,EPSRC,EP/M508159/1,2015-10-01,2019-09-30,1609810,University of Strathclyde,Research and Knowledge Exchange Services,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Craig,,Young,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508159%2F1
STFC Birmingham 2015 DTP,STFC,ST/N503939/1,2015-10-01,2020-09-30,890851,University of Birmingham,School of Physics and Astronomy,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Andrew John,,Schofield,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503939%2F1
STFC LJMU 2015 DTP,STFC,ST/N504154/1,2015-10-01,2020-09-30,578040,Liverpool John Moores University,Astrophysics Research Institute,"Egerton Court, No 2 Rodney Street, Liverpool, L3 5UX, North West, United Kingdom",L3 5UX,North West,MF,,Bode,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504154%2F1
DTP - University of Leicester,EPSRC,EP/M508081/1,2015-10-01,2019-09-30,360227,University of Leicester,Finance Office,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Ruth,Susan,Daly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508081%2F1
STFC York 2015 DTP,STFC,ST/N50452X/1,2015-10-01,2020-09-30,236422,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Sarah,Madeleine,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50452X%2F1
DTP - Swansea University,EPSRC,EP/M507957/1,2015-09-18,2019-09-17,438854,Swansea University,Research and Innovation,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Julie,Elizabeth,Pugsley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507957%2F1
STFC Portsmouth 2015 DTP,STFC,ST/N504245/1,2015-10-01,2020-09-30,433530,University of Portsmouth,Institute of Cosmology and Gravitation,"University House, Winston Churchill Avenue, Portsmouth, Hampshire, PO1 2UP, South East, United Kingdom",PO1 2UP,South East,David,Graham,Wands,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504245%2F1
STFC Edinburgh 2015 DTP,STFC,ST/N504051/1,2015-10-01,2020-09-30,1406180,University of Edinburgh,Sch of Physics and Astronomy,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Arthur,Stewart,Trew,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504051%2F1
STFC Aberystwyth 2015 DTP,STFC,ST/N503915/1,2015-10-01,2020-09-30,72255,Aberystwyth University,Inst of Mathematical and Physical Sci,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Andy,,Evans,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503915%2F1
DTP - Newcastle University,EPSRC,EP/M50791X/1,2015-10-01,2019-09-30,1766210,Newcastle University,Research and Enterprise Services,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Nicky,M,Houghton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM50791X%2F1
STFC Hertfordshire 2015 DTP,STFC,ST/N504105/1,2015-10-01,2020-09-30,361275,University of Hertfordshire,"School of Physics, Astronomy and Maths","Hatfield Campus, College Lane, Hatfield, Hertfordshire, AL10 9AB, East of England, United Kingdom",AL10 9AB,East of England,Martin,John,Hardcastle,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504105%2F1
STFC NHM 2015 DTP,STFC,ST/N50418X/1,2016-02-01,2021-01-31,158510,The Natural History Museum,Earth Sciences,"Cromwell Road, London, SW7 5BD, London, United Kingdom",SW7 5BD,London,Richard Jeremy,,Herrington,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50418X%2F1
STFC Brunel 2015 DTP,STFC,ST/N503964/1,2015-10-01,2020-09-30,91132,Brunel University,Sch of Engineering and Design,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Peter,Robert,Hobson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503964%2F1
DTP - University of Warwick,EPSRC,EP/M508184/1,2015-10-01,2019-09-30,2821030,University of Warwick,Research Support Services,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Dan,,Pearson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508184%2F1
STFC Warwick 2015 DTP,STFC,ST/N504506/1,2015-10-01,2020-09-30,830791,University of Warwick,Physics,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,David,R,Leadley,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504506%2F1
DTP - Durham University,EPSRC,EP/M507854/1,2015-10-01,2019-09-30,1254950,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507854%2F1
DTP - University of Bath,EPSRC,EP/M507982/1,2015-10-01,2019-09-30,1954800,University of Bath,Research Support,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Karen,,Toogood,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507982%2F1
DTP - University of Oxford,EPSRC,EP/M508111/1,2015-10-01,2019-09-30,4945300,University of Oxford,Oxford Physics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Martin,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508111%2F1
DTP - Heriot-Watt University,EPSRC,EP/M507866/1,2015-10-01,2019-09-30,1155870,Heriot-Watt University,Technology and Research Services,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Alan,,Miller,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507866%2F1
DTP - University of Sheffield,EPSRC,EP/M508135/1,2015-10-01,2019-09-30,3558960,University of Sheffield,Research Finance,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508135%2F1
STFC RHUL 2015 DTP,STFC,ST/N504269/1,2015-10-01,2020-09-30,422857,"Royal Holloway, University of London",Physics,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Pedro,,Teixeira-Dias,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504269%2F1
South West DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500628/1,2016-10-01,2017-09-30,600000,University of Bristol,Research and Enterprise Development,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Sally,,Barnes,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500628%2F1
North West DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500616/1,2016-10-01,2017-09-30,600000,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Gabriel,Gray,Mythen,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500616%2F1
UCL/Bloomsbury DTC GCRF Postdoctoral Fellowships 2016 (pilot),ESRC,ES/P500653/1,2016-10-01,2017-09-30,700000,University College London,Economics,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Andrew,,Tolmie,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FP500653%2F1
STFC Cambridge DAMTP 2015 DTP,STFC,ST/N503976/1,2015-10-01,2020-09-30,854588,University of Cambridge,Applied Maths and Theoretical Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Peter Howard,,Haynes,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503976%2F1
STFC Leeds Physics 2015 DTP,STFC,ST/N504403/1,2015-10-01,2020-09-30,216765,University of Leeds,Physics and Astronomy,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Thomas,,Hartquist,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504403%2F1
STFC Southampton Maths 2015 DTP,STFC,ST/N504294/1,2015-10-01,2020-09-30,144510,University of Southampton,School of Mathematics,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,James,Alastair,Vickers,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504294%2F1
DTP - Queen's University of Belfast,EPSRC,EP/M507933/1,2015-10-01,2019-09-30,1805550,Queen's University of Belfast,Research and Regional Services,"University Road, Belfast, County Antrim, BT7 1NN, Northern Ireland, United Kingdom",BT7 1NN,Northern Ireland,Mark,,Kelly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507933%2F1
STFC Liverpool Physics 2015 DTP,STFC,ST/N504142/1,2015-10-01,2020-09-30,989653,University of Liverpool,Physics,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Timothy,,Greenshaw,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504142%2F1
STFC Cambridge IoA 2015 DTP,STFC,ST/N503988/1,2015-10-01,2020-09-30,1228340,University of Cambridge,Institute of Astronomy,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Andrew,,Fabian,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN503988%2F1
DTP - University of St Andrews,EPSRC,EP/M508214/1,2015-10-01,2019-09-30,1958110,University of St Andrews,Psychology,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Malcolm,,MacLeod,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508214%2F1
STFC Kings Maths 2015 DTP,STFC,ST/N504361/1,2015-10-01,2020-09-30,230282,King's College London,Mathematics,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Peter,Christopher,West,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504361%2F1
STFC Oxford Earth 2015 DTP,STFC,ST/N504221/1,2015-10-01,2020-09-30,144510,University of Oxford,Earth Sciences,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Gideon,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504221%2F1
STFC Cambridge Physics 2015 DTP,STFC,ST/N50399X/1,2015-10-01,2020-09-30,756597,University of Cambridge,Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Michael Andrew,,Parker,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50399X%2F1
DTP 2016-2017 Lancaster University,EPSRC,EP/N509504/1,2016-10-01,2021-09-30,1754200,Lancaster University,Vice-Chancellor's Office,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Stephen,Paul,Decent,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509504%2F1
STFC Imperial Physics 2015 DTP,STFC,ST/N504336/1,2015-10-01,2020-09-30,2276520,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jordan,,Nash,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504336%2F1
STFC Imperial Earth 2015 DTP,STFC,ST/N504312/1,2015-10-01,2020-09-30,317020,Imperial College London,Earth Science and Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jan,,Cilliers,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504312%2F1
STFC Durham Physics 2015 DTP,STFC,ST/N50404X/1,2015-10-01,2020-09-30,1791410,Durham University,Physics,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Simon,Leo,Morris,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50404X%2F1
STFC Sheffield Maths 2015 DTP,STFC,ST/N504270/1,2015-10-01,2020-09-30,144510,University of Sheffield,Mathematics and Statistics,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,J,D,Biggins,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504270%2F1
STFC Oxford Physics 2015 DTP,STFC,ST/N504233/1,2015-10-01,2020-09-30,2580730,University of Oxford,Oxford Physics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,John,,Wheater,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504233%2F1
STFC UCL Physics 2015 DTP,STFC,ST/N50449X/1,2015-10-01,2020-09-30,1172190,University College London,Physics and Astronomy,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Jonathan,Mark,Butterworth,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50449X%2F1
DTP - University of East Anglia,EPSRC,EP/M508020/1,2015-10-01,2019-09-30,466643,University of East Anglia,Graduate Office,"Earlham Road, Norwich, Norfolk, NR4 7TJ, East of England, United Kingdom",NR4 7TJ,East of England,Melanie,Sarah,Steele,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508020%2F1
STFC Imperial Eng 2015 DTP,STFC,ST/N504324/1,2016-10-01,2021-09-30,79255,Imperial College London,Electrical and Electronic Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Peter Y K,,Cheung,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504324%2F1
STFC Liverpool Cockcroft 2015 DTP,STFC,ST/N504129/1,2015-10-01,2020-09-30,654564,University of Liverpool,Physics,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Peter,,Ratoff,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504129%2F1
STFC Kings Physics 2015 DTP,STFC,ST/N504373/1,2015-10-01,2020-09-30,232776,King's College London,Physics,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,David,,Richards,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504373%2F1
DTP - The University of Manchester,EPSRC,EP/M507969/1,2015-10-01,2019-09-30,3268210,University of Manchester,Engineering and Physical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Lee,James,Wilkinson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507969%2F1
DTP 2016-2017 Cranfield University,EPSRC,EP/N509450/1,2016-10-01,2021-09-30,1256420,Cranfield University,Administration,"Cranfield, Bedford, Bedfordshire, MK43 0AL, East of England, United Kingdom",MK43 0AL,East of England,Christine,,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509450%2F1
STFC Durham Maths 2015 DTP,STFC,ST/N504038/1,2015-10-01,2020-09-30,348802,Durham University,Mathematical Sciences,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Anne,,Taormina,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504038%2F1
STFC UCL Earth 2015 DTP,STFC,ST/N504476/1,2015-10-01,2020-09-30,158510,University College London,Earth Sciences,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Lars,,Stixrude,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504476%2F1
STFC Liverpool Maths 2015 DTP,STFC,ST/N504130/1,2015-10-01,2020-09-30,279042,University of Liverpool,Mathematical Sciences,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,David,Ian,Jack,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504130%2F1
DTP 2016-2017 Aston University,EPSRC,EP/N509425/1,2016-10-01,2021-09-30,778552,Aston University,Unlisted,"Aston Triangle, Birmingham, B4 7ET, West Midlands, United Kingdom",B4 7ET,West Midlands,Sally,,Puzey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509425%2F1
STFC Leeds Maths 2015 DTP,STFC,ST/N504397/1,2015-10-01,2020-09-30,216765,University of Leeds,Applied Mathematics,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Steve,,Tobias,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504397%2F1
DTP 2016-2017 Brunel University,EPSRC,EP/N509437/1,2016-10-01,2021-09-30,1404660,Brunel University,Research Support and Development Office,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Adam,,Bell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509437%2F1
DTP 2016-2017 Swansea University,EPSRC,EP/N509553/1,2016-10-01,2021-09-30,1300220,Swansea University,Research and Innovation,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Julie,Elizabeth,Pugsley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509553%2F1
DTP 2016-2017 Newcastle University,EPSRC,EP/N509528/1,2016-10-01,2021-09-30,3373730,Newcastle University,Research and Enterprise Services,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Nicky,M,Houghton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509528%2F1
STFC UCL MSSL 2015 DTP,STFC,ST/N504488/1,2015-10-01,2020-09-30,792550,University College London,Mullard Space Science Laboratory,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,A,,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504488%2F1
STFC Manchester Earth 2015 DTP,STFC,ST/N504166/1,2015-10-01,2020-09-30,289020,University of Manchester,Earth Atmospheric and Env Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Hugh,,Coe,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504166%2F1
DTP 2016-2017 Cardiff University,EPSRC,EP/N509449/1,2016-10-01,2021-09-30,1473820,Cardiff University,Registry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Rhian,Wyn,Phillips,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509449%2F1
Cyber Security CDT Phase Two (University of Oxford),EPSRC,EP/P00881X/1,2016-10-01,2023-03-31,3489110,University of Oxford,Computer Science,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Andrew,,Martin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP00881X%2F1
STFC St Andrews Physics 2015 DTP,STFC,ST/N504427/1,2015-10-01,2020-09-30,216765,University of St Andrews,Physics and Astronomy,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Andrew Collier,,Cameron,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504427%2F1
STFC West of Scot 2015 DTP,STFC,ST/N504518/1,2016-02-01,2021-01-31,149498,University of the West of Scotland,School of Science,"High Street, Paisley, Renfrewshire, PA1 2BE, Scotland, United Kingdom",PA1 2BE,Scotland,John,Francis,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504518%2F1
DTP 2016-2017 The University of Manchester,EPSRC,EP/N509565/1,2016-10-01,2021-09-30,6595230,University of Manchester,Research Support Services,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Lee,James,Wilkinson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509565%2F1
DTP 2016-2017 University of Huddersfield,EPSRC,EP/N50967X/1,2016-09-19,2021-09-18,553518,University of Huddersfield,Research and Enterprise,"Queensgate, Huddersfield, West Yorkshire, HD1 3DH, Yorkshire and The Humber, United Kingdom",HD1 3DH,Yorkshire and The Humber,Elizabeth,,Towns-Andrews,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50967X%2F1
The Oxford DTP in Environmental Research,NERC,NE/L002612/1,2014-09-01,2020-10-31,6551260,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,David,,Pyle,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002612%2F1
DTP 2016-2017 University of Aberdeen,EPSRC,EP/N509814/1,2016-10-01,2021-09-30,488820,University of Aberdeen,Research Finance Manager,"University Office, Regent Walk, Aberdeen, Aberdeenshire, AB24 3FX, Scotland, United Kingdom",AB24 3FX,Scotland,Kerry,,Duffus,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509814%2F1
DTP 2016-2017 University of Leeds,EPSRC,EP/N509681/1,2016-10-01,2021-09-30,4163130,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509681%2F1
DTP 2016-2017 University of Liverpool,EPSRC,EP/N509693/1,2016-10-01,2021-09-30,2101400,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Debbie,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509693%2F1
DTP 2016-2017 University of Southampton,EPSRC,EP/N509747/1,2016-10-01,2021-09-30,8694380,University of Southampton,Research and Innovation Services,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,,Jewell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509747%2F1
DTP 2016-2017 University of Birmingham,EPSRC,EP/N509590/1,2016-10-01,2021-09-30,5755880,University of Birmingham,Personnel Services,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Hilary,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509590%2F1
STFC Southampton Physics &amp; Astronomy 2015 DTP,STFC,ST/N504300/1,2015-10-01,2020-09-30,423552,University of Southampton,School of Physics and Astronomy,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,Allan,Charles,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504300%2F1
DTP 2016-2017 University of St Andrews,EPSRC,EP/N509759/1,2016-10-01,2021-09-30,1747260,University of St Andrews,Office of the Principal,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,John,Derek,Woollins,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509759%2F1
DTP 2016-2017 University of Sussex,EPSRC,EP/N509784/1,2016-10-01,2021-09-30,547346,University of Sussex,Research Finance,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,Linda,,Allfrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509784%2F1
DTP 2016-2017 University of Cambridge,EPSRC,EP/N509620/1,2016-10-01,2021-09-30,12786000,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Noel Antony,,Rutter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509620%2F1
