title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
Industrial CASE Account - University of Surrey 2012,EPSRC,DTP,2012-10-01,2017-09-30,404658,University of Surrey,ATI Electronics,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Karen,Joy,Kirkby,EP/K504580/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK504580%2F1
Circadian regulation of the responses of plants to herbicides,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Bristol,Biological Sciences,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Antony,Nicholas,Dodd,BB/M016900/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016900%2F1
Improvement of sensory and nutritional performance of cocoa blends,BBSRC,DTP,2015-12-01,2019-11-30,95042,University of Leeds,School of Food Science and Nutrition,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Malcolm,James William,Povey,BB/N504294/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN504294%2F1
Durham-2013-DTG Funding 4 Studentships,NERC,DTP,2013-10-01,2017-09-30,297153,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,NE/L501724/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501724%2F1
Improving taste function in the aged population,BBSRC,DTP,2013-01-01,2016-12-31,100173,King's College London,Clinical and Diagnostic Sciences,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Guy,,Carpenter,BB/J01172X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FJ01172X%2F1
Towards engineering a multi-cell lineage multi-organism intestine,NC3Rs,DTP,2014-10-01,2017-09-30,90000,Babraham Institute,Lymphocyte Signalling and Development,"Babraham Research Campus, Cambridge, Cambridgeshire, CB22 3AT, East of England, United Kingdom",CB22 3AT,East of England,Marc,,Veldhoen,NC/L001217/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FL001217%2F1
London School of Economics ESRC Doctoral Training Centre DTG 2011,ESRC,DTP,2011-10-01,2020-09-30,15316400,London School of Economics & Pol Sci,Research & Project Development Division,"Houghton Street, Aldwych, London, WC2A 2AE, London, United Kingdom",WC2A 2AE,London,Janet,Margaret,Hartley,ES/J500070/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500070%2F1
Quota Studentship 2011,STFC,DTP,2012-08-01,2016-07-31,68702,Armagh Observatory,Astronomy,"College Hill, Armagh, County Armagh, BT61 9DG, Northern Ireland, United Kingdom",BT61 9DG,Northern Ireland,Mark Edward,,Bailey,ST/J500549/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FJ500549%2F1
DTA - University of Edinburgh,EPSRC,DTP,2014-10-01,2018-09-30,3334420,University of Edinburgh,College of Science and Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Julia,Miller,Ferguson,EP/M506515/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM506515%2F1
Industrial CASE Account - University College London 2016,EPSRC,DTP,2016-10-01,2021-09-30,651440,University College London,Chemistry,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,David,,Price,EP/P510683/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510683%2F1
Training Grant Cambridge DAMTP,STFC,DTP,2014-10-01,2018-09-30,417856,University of Cambridge,Applied Maths and Theoretical Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Peter Howard,,Haynes,ST/M50340X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM50340X%2F1
Training Grant Oxford Physics,STFC,DTP,2014-10-01,2018-09-30,1106790,University of Oxford,Oxford Physics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,John,,Wheater,ST/M50371X/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM50371X%2F1
Electrochemical detection of microRNA,BBSRC,DTP,2013-10-01,2017-09-30,93520,Cardiff University,Chemistry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,James,Edward,Redman,BB/K012592/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012592%2F1
Towards in silico IBV vaccine design defining the role of polymorphism in viral attenuation,BBSRC,DTP,2014-08-04,2018-10-08,94126,The Pirbright Institute,Avian Viral Diseases,"Ash Road, Pirbright, Woking, Surrrey, GU24 0NF, South East, United Kingdom",GU24 0NF,South East,Paul,,Britton,BB/M502947/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM502947%2F1
Oxford-2012-DTG-Funding 15 Studentships,NERC,DTP,2012-10-01,2019-09-30,1085350,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Maria,,Poole,NE/K500811/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK500811%2F1
Gene discovery in maize: development of sustainable strategies for symbiosis-enhanced mineral use efficiency.,BBSRC,DTP,2014-10-01,2019-07-03,94126,University of Cambridge,Plant Sciences,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Uta,,Paszkowski,BB/L016532/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016532%2F1
Development of a predictive model for the dissolution of inhaled particles,BBSRC,DTP,2014-09-30,2018-09-29,101520,King's College London,Pharmaceutical Sciences,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,B,,Forbes,BB/K012762/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012762%2F1
Physiological mechanisms of transmission ratio distortion,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Cambridge,Pathology,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Nabeel,Ahmed,Affara,BB/L502443/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502443%2F1
An accurate pKa predictor from ab initio bond lengths.,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Manchester,Chemistry,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Paul Lode Albert,,Popelier,BB/L016788/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016788%2F1
Controlling fluid properties of dense CO2,STFC,DTP,2013-10-01,2017-09-30,67498,University of Bristol,Chemistry,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Julian,,Eastoe,ST/L502613/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FL502613%2F1
Industrial CASE Account - University of Leeds 2011,EPSRC,DTP,2011-10-01,2016-09-30,483847,University of Leeds,Research Student Administration,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,EP/J502042/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502042%2F1
Developing novel tools to probe the function of GPR37 within the CNS,BBSRC,DTP,2015-11-01,2019-10-31,95042,University of Sussex,Sch of Life Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,John,Richard,Atack,BB/M01715X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM01715X%2F1
Industrial CASE Account - University of Central Lancashire 2012,EPSRC,DTP,2012-10-01,2017-09-30,67443,University of Central Lancashire,Research & Innovation Office,"Preston, Lancashire, PR1 2HE, North West, United Kingdom",PR1 2HE,North West,Robert,William,Walsh,EP/K504300/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK504300%2F1
Developing microfluidic systems for high-throughput studies of functional neuronal networks,NC3Rs,DTP,2014-09-01,2017-08-31,90000,University of Strathclyde,Electronic and Electrical Engineering,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Michele,,Zagnoni,NC/L00139X/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FL00139X%2F1
DISSECTING AND ACCESSING USEFUL GENETIC VARIATIONS FOR IRON AND ZINC CONTENT IN PEARL MILLET USING GENOME WIDE ASSOCIATION STUDIES,BBSRC,DTP,2014-10-01,2018-09-30,94126,Aberystwyth University,IBERS,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Rattan,,Yadav,BB/M502728/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM502728%2F1
Optimising within and between population genomic prediction in aquaculture breeding,BBSRC,DTP,2016-10-01,2020-09-30,96696,University of Edinburgh,The Roslin Institute,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Christopher,Simon,Haley,BB/P504993/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504993%2F1
Mechanisms of cognitive dysfunction in mouse models of neurodegenerative and psychiatric disease,BBSRC,DTP,2013-09-23,2017-09-22,93520,University of Bristol,Physiology and Pharmacology,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Michael,,Ashby,BB/L502170/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502170%2F1
Controlling the quality of novel glycoprotein therapeutics,BBSRC,DTP,2015-10-05,2019-10-04,103042,Imperial College London,Department of Chemical Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Cleo,,Kontoravdi,BB/M016315/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016315%2F1
Optimisation of chocolate formulation via understanding and control of sugar physical forms,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Reading,Pharmacy,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Kenneth,,Shankland,BB/L015730/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL015730%2F1
Identify biological pathways important for Dictyostelium development can this understanding be used to evaluate adverse outcomes in mammalian species,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Manchester,School of Health Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Christopher,,Thompson,BB/M50340X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM50340X%2F1
DTA - Heriot-Watt University,EPSRC,DTP,2012-10-01,2016-09-30,1439340,Heriot-Watt University,Technology and Research Services,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,Alan,,Miller,EP/K502844/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK502844%2F1
Production and use of Equine UGT enzymes for the prediction of the pharmacokinetics of drugs used in equine medicine,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Nottingham,School of Veterinary Medicine and Sci,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Stuart,William,Paine,BB/K013238/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK013238%2F1
Multi scale modelling of dermal absorption disposition systemic circulation and liver metabolism of xenobiotics,BBSRC,DTP,2016-10-01,2020-09-30,96696,University of Surrey,Chemical Engineering,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Tao,,Chen,BB/P504415/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504415%2F1
Industrial CASE Account - The Open University 2011,EPSRC,DTP,2011-10-01,2016-09-30,69121,Open University,"Life, Health & Chemical Sciences","Walton Hall, Walton, Milton Keynes, Buckinghamshire, MK7 6AA, South East, United Kingdom",MK7 6AA,South East,Peter,Geoffrey,Taylor,EP/J502121/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502121%2F1
Using Virtual Experimentation for Improved Experimental Design in Biological and Biotechnological Research: a Three Day Workshop.,BBSRC,DTP,2016-10-01,2019-09-30,15300,Newcastle University,Sch of Biology,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Thomas,Paul,Howard,BB/P004342/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP004342%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,208925,University of Oxford,Earth Sciences,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Gideon,,Henderson,ST/K502224/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502224%2F1
Open-2013-DTG Funding 2 Studentships,NERC,DTP,2013-09-01,2017-02-28,145742,Open University,"Environment, Earth & Ecosystems","Walton Hall, Walton, Milton Keynes, Buckinghamshire, MK7 6AA, South East, United Kingdom",MK7 6AA,South East,William,Daniel,Gosling,NE/L501888/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501888%2F1
A calicivirus component is required in calf diarrhoea vaccines,BBSRC,DTP,2013-10-01,2017-09-30,101520,Royal Veterinary College,Pathology and Pathogen Biology,"Royal College Street, Camden Town, London, NW1 0TU, London, United Kingdom",NW1 0TU,London,Felicity,,D'Mello,BB/K011855/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011855%2F1
Develpoment of a methodology for Nonlinear Mixed Effects Modelling Population PKPD of pre clinical data,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Manchester,School of Health Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Leon,,Aarons,BB/L502583/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502583%2F1
RHUL-2013-DTG Funding 3 Studentships,NERC,DTP,2013-10-01,2017-03-31,239613,"Royal Holloway, University of London",The Academic Registrar,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Barbara,,Davis,NE/L501803/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501803%2F1
Industrial CASE Account - University of Bristol 2016,EPSRC,DTP,2016-10-01,2021-09-30,1384310,University of Bristol,Finance Office,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Julie,Amanda,Coombs,EP/P510427/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510427%2F1
BGP Capacity Building Grant Proposal,AHRC,DTP,2011-10-01,2017-09-30,226428,Sheffield Hallam University,Faculty of Arts Computing Eng and Sci,"City Campus, Howard Street, Sheffield, South Yorkshire, S1 1WB, Yorkshire and The Humber, United Kingdom",S1 1WB,Yorkshire and The Humber,Kathy,,Doherty,AH/J000426/1,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FJ000426%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,348209,University of Portsmouth,Institute of Cosmology and Gravitation,"University House, Winston Churchill Avenue, Portsmouth, Hampshire, PO1 2UP, South East, United Kingdom",PO1 2UP,South East,David,Graham,Wands,ST/K502248/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502248%2F1
Identification of Tools Compounds to Define the Function of Serine Racemase and D-Serine in the Brain,BBSRC,DTP,2015-09-01,2019-08-31,94126,University of Sussex,Sch of Life Sciences,"The Administration, Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, South East, United Kingdom",BN1 9RH,South East,John,Richard,Atack,BB/L017105/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL017105%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,509485,University of Sheffield,Physics and Astronomy,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Nigel,,Clarke,ST/K502297/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502297%2F1
Development of novel biocatalytic processes for the manufacturing of food flavours and fragrances.,BBSRC,DTP,2015-10-01,2019-09-30,95042,King's College London,Pharmaceutical Sciences,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Daniele,,Castagnolo,BB/M016218/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016218%2F1
Industrial CASE Account - University of Edinburgh 2013,EPSRC,DTP,2013-10-01,2018-09-30,205944,University of Edinburgh,Sch of Engineering,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Gerald,,McLaren,EP/L505420/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505420%2F1
Investigating the immunosuppressive capacity of myeloid cells during the resolution of lung inflammation,BBSRC,DTP,2016-10-01,2020-09-30,104696,University College London,Medicine,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Derek,,Gilroy,BB/P504312/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504312%2F1
DTA - University of Surrey,EPSRC,DTP,2014-10-01,2018-09-30,1145230,University of Surrey,Finance and Financial Management,"Registry, Stag Hill, Guildford, Surrey, GU2 7XH, South East, United Kingdom",GU2 7XH,South East,Elizabeth,,Puttock,EP/M506655/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM506655%2F1
Industrial CASE Account - University of Warwick 2013,EPSRC,DTP,2013-10-01,2018-09-30,823776,University of Warwick,WMG,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Kevin,,Neailey,EP/L505730/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505730%2F1
Industrial CASE Account - University of Aberdeen 2013,EPSRC,DTP,2013-10-01,2018-09-30,68648,University of Aberdeen,Research Finance Manager,"University Office, Regent Walk, Aberdeen, Aberdeenshire, AB24 3FX, Scotland, United Kingdom",AB24 3FX,Scotland,Kerry,,Duffus,EP/L50533X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL50533X%2F1
DTA - University of York,EPSRC,DTP,2013-10-01,2017-09-30,1137610,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Brian,,Fulton,EP/L505122/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505122%2F1
"Development of a Non-Mammalian, Pre-Clinical Screening Tool (FETOX) for Predictive Analysis of Drug Safety.",NC3Rs,DTP,2014-10-01,2017-11-30,90000,University of East Anglia,Biological Sciences,"Earlham Road, Norwich, Norfolk, NR4 7TJ, East of England, United Kingdom",NR4 7TJ,East of England,Grant,,Wheeler,NC/L001659/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FL001659%2F1
Hertfordshire-2012-DTG-Funding 1 Studentship,NERC,DTP,2012-10-01,2016-07-31,71796,University of Hertfordshire,"School of Physics, Astronomy and Maths","Hatfield Campus, College Lane, Hatfield, Hertfordshire, AL10 9AB, East of England, United Kingdom",AL10 9AB,East of England,Paul,Henry,Kaye,NE/K50130X/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK50130X%2F1
Quota Studentship 2012,STFC,DTP,2013-07-01,2018-06-30,76641,The Natural History Museum,Earth Sciences,"Cromwell Road, London, SW7 5BD, London, United Kingdom",SW7 5BD,London,Andrew,James,Fleet,ST/K502194/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK502194%2F1
Multifunctional Field Margins for Delivery of Ecosystem Services,BBSRC,DTP,2014-10-02,2018-10-01,94126,Harper Adams University,Crops and Environment Sciences,"Harper Adams University, Newport, Shropshire, TF10 8NB, West Midlands, United Kingdom",TF10 8NB,West Midlands,Nicola,Peniston,Randall,BB/M503411/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503411%2F1
White Rose ESRC Doctoral Training Centre DTG 2011,ESRC,DTP,2011-10-01,2020-09-30,18443900,University of Sheffield,Geography,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Martin John,,Smith,ES/J500215/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500215%2F1
PML-2011-DTG-Funding 2 Studentships,NERC,DTP,2011-10-01,2017-06-30,143014,Plymouth Marine Laboratory,Plymouth Marine Lab,"Prospect Place, West Hoe, Plymouth, PL1 3DH, South West, United Kingdom",PL1 3DH,South West,Carol,,Smith,NE/J50032X/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FJ50032X%2F1
Combination antiviral therapy against influenza A virus,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Edinburgh,The Roslin Institute,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Paul,,Digard,BB/K012681/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012681%2F1
Impact of safeners on herbicide metabolism and metabolic profile in plants in solo and mixture products,BBSRC,DTP,2015-10-01,2019-09-30,95042,Newcastle University,Agriculture Food and Rural Development,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Robert,,Edwards,BB/N504245/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN504245%2F1
Understanding the Mechanism of Fibroblast Activation,BBSRC,DTP,2016-10-01,2020-09-30,104696,The Francis Crick Institute,Research,"Gibbs Building, 215 Euston Road, NW1 2BE, Unknown",NW1 2BE,Unknown,Erik,,Sahai,BB/P50452X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP50452X%2F1
Using a Systems Approach to Investigate the Impact of in vitro culture conditions on Cellular Energetics and Biochemistry,BBSRC,DTP,2016-10-03,2020-10-02,96696,University of Oxford,Obstetrics and Gynaecology,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Karl,,Morten,BB/P504373/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504373%2F1
Development of a novel reclosable packaging for food preservation,BBSRC,DTP,2014-09-15,2018-09-14,93520,Loughborough University,Materials,"Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,Barry,,Haworth,BB/L50242X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL50242X%2F1
Industrial CASE Account - King's College London 2016,EPSRC,DTP,2016-10-01,2021-09-30,81430,King's College London,Research Grants & Contracts,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Heloise,,Bertram,EP/P510531/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510531%2F1
Molecular analysis of the pleiotropic roles of the MADS-box gene FLC for development and yield in Brassica napus,BBSRC,DTP,2014-10-01,2018-09-30,94126,John Innes Centre,Crop Genetics,"Norwich Research Park, Colney, Norwich, Norwich, NR4 7UH, East of England, United Kingdom",NR4 7UH,East of England,Judith,Ann,Irwin,BB/L016079/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016079%2F1
Industrial CASE Account - University of Reading 2011,EPSRC,DTP,2011-10-01,2016-09-30,69121,University of Reading,Archaeology,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Steven,John,Mithen,EP/J502182/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502182%2F1
NERC Science @ Leeds and York - Site for PhD Training in Environmental Research (SPHERES),NERC,DTP,2014-09-01,2020-10-31,4030930,University of Leeds,School of Earth and Environment,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Martyn,,Chipperfield,NE/L002574/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002574%2F1
Industrial CASE Account - The University of Manchester 2016,EPSRC,DTP,2016-10-01,2021-09-30,1221450,University of Manchester,Engineering and Physical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Lee,James,Wilkinson,EP/P510579/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510579%2F1
Chemical genomics of the plant heat response,BBSRC,DTP,2014-04-22,2018-04-21,93520,University of Cambridge,Sainsbury Laboratory,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Philip,Anthony,Wigge,BB/L502327/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502327%2F1
Protein Structural Investigations of Bioformulation Parameters Using Vibrational Spectroscopies,BBSRC,DTP,2015-09-30,2019-09-29,94126,University of Manchester,School of Medical Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Ewan,William,Blanch,BB/L014734/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL014734%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,150889,City University London,Sch of Engineering and Mathematical Sci,"Northampton Square, London, EC1V 0HB, London, United Kingdom",EC1V 0HB,London,Anton,,Cox,ST/K501955/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK501955%2F1
Industrial CASE Account - Lancaster University 2014,EPSRC,DTP,2014-10-01,2019-09-30,139048,Lancaster University,Computing & Communications,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Chris,,Edwards,EP/M507441/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507441%2F1
Managing Ecosystem Services to Promote Food Security and Economic Benefits,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Reading,Sch of Agriculture Policy and Dev,"Whiteknights House, PO Box 217, Reading, Berkshire, RG6 6AH, South East, United Kingdom",RG6 6AH,South East,Simon,,Potts,BB/K012843/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012843%2F1
Subcellular Imaging of Compound Localisation using Tagged Nanoparticles,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Southampton,School of Chemistry,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Sumeet,,Mahajan,BB/N50404X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN50404X%2F1
Industrial CASE Account - University of the West of England 2013,EPSRC,DTP,2013-10-01,2018-09-30,68648,University of the West of England,Faculty of Health and Life Sciences,"Coldharbour Lane, Frenchay, Bristol, Avon, BS16 1QY, South West, United Kingdom",BS16 1QY,South West,John,,Greenman,EP/L505742/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505742%2F1
Understanding the Role of GSTF1 in MHR in grass weeds,BBSRC,DTP,2014-10-01,2018-09-30,94126,Durham University,Chemistry,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Patrick,,Steel,BB/L016273/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016273%2F1
